Dog,GDB ID,Breed,Sex,Campus,Phase
Abbott,636H,LAB,M,OR,2
Adore,66H8,GLD,F,CA,2
Adventure,61H1,LAB,M,OR,D
Ajax,637H,LAB,M,OR,2
Alejo,61H3,LAB,M,CA,4
Amber,61H7,LAB,F,CA,C
Andale,61H5,LAB,M,CA,0
April,61H9,LAB,F,CA,C
Arthur,639H,LAB,M,OR,2
Autobahn,66H7,GLD,M,CA,7
Axel,61G7,LAB,M,CA,2
Ballad,61G2,LAB,F,OR,8
Bandana,6H91,LAB,F,CA,2
Bassoon,6H88,LAB,M,CA,0
Beluga,6H92,LAB,F,CA,5
Bjorn,6H89,LAB,M,CA,3
Buckley,6H90,LAB,M,CA,0
Burma,6H93,LAB,F,CA,0
Button,667G,LAB,F,OR,0
Carbon,653H,LAB,M,OR,3
Cobalt,655H,LAB,M,OR,0
Dandy,62H7,LAB,F,CA,A
Diesel,62H5,LAB,M,CA,A
Doc,62G9,LAB,M,OR,8
Dojo,659G,LAB,M,CA,1
